Student ID,Name,Age,Gender,Grade,Attendance (%),Exam Score,GPA,Teacher ID,Subject,Classrooms,Library Books,Digital Resources,Lab Facilities,Parent Education,Household Income,Internet Access,Transport,Sports Participation,Clubs Participation,Arts Participation,Semester,Parent Satisfaction,Math Marks,Science Marks,English Marks,History Marks,Computer Science Marks
S00012,Student_12,16,Female,9,85.37,79,3.95,T0087,Computer Science,24,4899,93,Not Available,High School,45420,No,Private,Yes,No,Yes,Semester 2,2,89,84,88,55,81
S00013,Student_13,12,Female,7,74.06,82,4.1,T0261,Computer Science,14,3726,239,Not Available,Master,23078,No,Bus,Yes,No,Yes,Semester 1,1,60,89,63,75,71
S00014,Student_14,12,Male,11,87.13,96,4.8,T0306,History,49,1903,306,Not Available,Bachelor,86919,No,Walk,Yes,Yes,Yes,Semester 1,2,94,91,98,66,96
S00015,Student_15,17,Male,7,82.24,56,2.8,T0297,English,27,8891,231,Not Available,PhD,59489,Yes,Bus,No,No,No,Semester 1,4,60,51,63,73,55
S00016,Student_16,14,Male,6,89.84,77,3.85,T0350,Computer Science,30,2785,440,Not Available,Master,23970,No,Bus,No,No,No,Semester 2,3,85,82,69,59,70
S00017,Student_17,13,Male,9,96.46,98,4.9,T0240,Computer Science,88,9362,163,Not Available,Master,69513,No,Private,No,No,No,Semester 1,5,87,59,93,81,94
S00018,Student_18,17,Male,11,82.28,52,2.6,T0167,Science,12,2228,63,Not Available,Bachelor,90614,No,Bus,No,No,No,Semester 2,2,80,94,58,52,88
S00019,Student_19,17,Female,9,78.7,92,4.6,T0313,Geography,55,1749,128,Available,Bachelor,55579,Yes,Bus,No,No,Yes,Semester 2,4,73,82,55,68,98
S00020,Student_20,12,Female,9,70.44,55,2.75,T0219,Math,99,1378,207,Available,Bachelor,71974,No,Private,Yes,No,No,Semester 1,2,68,72,51,84,96
S00021,Student_21,15,Male,5,87.25,80,4.0,T0441,Science,88,3023,432,Available,Bachelor,34006,Yes,Bus,Yes,Yes,Yes,Semester 2,5,81,83,87,76,86
S00022,Student_22,14,Male,11,82.07,87,4.35,T0490,Science,62,997,282,Available,Master,78631,Yes,Bus,No,No,Yes,Semester 2,2,89,91,90,74,76
S00023,Student_23,11,Female,7,81.24,64,3.2,T0421,Geography,29,9669,207,Not Available,Bachelor,41279,No,Private,Yes,Yes,No,Semester 1,3,87,85,92,70,59
S00024,Student_24,17,Male,9,75.49,56,2.8,T0391,Math,68,8202,137,Not Available,PhD,99477,No,Private,Yes,Yes,No,Semester 1,2,66,79,82,51,71
S00025,Student_25,13,Male,10,82.9,92,4.6,T0133,Math,30,8078,101,Available,High School,99160,No,Private,Yes,No,Yes,Semester 2,4,99,88,93,69,93
S00026,Student_26,15,Male,5,99.53,79,3.95,T0207,History,99,5379,18,Available,Bachelor,33715,No,Bus,Yes,Yes,No,Semester 2,2,84,54,54,72,67
S00027,Student_27,15,Male,6,78.93,76,3.8,T0051,Science,96,1038,484,Not Available,Bachelor,67480,Yes,Walk,No,Yes,Yes,Semester 2,5,61,70,62,82,53
S00028,Student_28,11,Male,9,87.99,66,3.3,T0106,English,60,9592,236,Not Available,Master,61500,Yes,Private,Yes,Yes,Yes,Semester 2,2,64,65,64,99,94
S00029,Student_29,17,Female,9,93.29,67,3.35,T0392,Computer Science,34,1966,55,Not Available,High School,32607,Yes,Private,No,Yes,Yes,Semester 2,4,88,56,94,57,84
S00030,Student_30,13,Male,5,92.47,71,3.55,T0184,Science,77,8214,143,Available,High School,67328,Yes,Bus,No,No,No,Semester 1,2,62,58,83,86,87
S00031,Student_31,14,Male,7,79.86,75,3.75,T0201,English,19,2233,461,Not Available,High School,73664,No,Walk,No,Yes,Yes,Semester 2,1,79,90,58,91,87
S00032,Student_32,10,Male,10,88.33,76,3.8,T0011,English,95,990,25,Available,Bachelor,61763,No,Walk,No,No,No,Semester 1,5,91,92,75,79,85
S00033,Student_33,13,Female,6,96.14,89,4.45,T0254,Geography,76,2209,224,Not Available,Master,84266,Yes,Bus,Yes,No,No,Semester 1,1,68,73,79,80,53
S00034,Student_34,11,Female,9,70.46,73,3.65,T0150,Science,92,7211,121,Not Available,Master,78141,Yes,Private,No,Yes,No,Semester 2,1,58,98,71,90,94
S00035,Student_35,15,Female,7,83.07,57,2.85,T0354,Geography,18,2418,352,Available,Bachelor,56152,Yes,Bus,Yes,Yes,Yes,Semester 2,5,77,75,74,67,59
S00036,Student_36,14,Female,11,76.73,70,3.5,T0355,History,38,8666,166,Not Available,High School,57472,Yes,Walk,Yes,Yes,Yes,Semester 1,5,93,81,89,80,81
S00037,Student_37,13,Male,10,81.66,78,3.9,T0461,English,46,6525,434,Available,High School,52393,No,Private,No,Yes,Yes,Semester 2,4,92,92,53,75,59
S00038,Student_38,10,Female,11,82.48,92,4.6,T0395,Math,80,6599,461,Not Available,Master,79356,Yes,Walk,No,No,No,Semester 1,4,74,76,96,73,92
S00039,Student_39,10,Male,10,92.4,70,3.5,T0444,English,47,697,327,Not Available,PhD,63800,Yes,Walk,No,Yes,Yes,Semester 1,4,89,90,77,54,94
S00040,Student_40,12,Male,6,72.81,52,2.6,T0096,History,97,2213,369,Available,Bachelor,74879,Yes,Walk,No,Yes,Yes,Semester 2,1,90,68,86,60,59
S00041,Student_41,12,Female,8,85.38,80,4.0,T0106,English,81,5283,385,Not Available,PhD,85475,Yes,Walk,No,No,No,Semester 1,2,53,57,59,73,60
S00042,Student_42,16,Female,10,86.93,76,3.8,T0143,Geography,68,8602,433,Not Available,PhD,31254,No,Private,Yes,No,Yes,Semester 1,3,86,86,58,50,99
S00043,Student_43,11,Female,8,84.82,95,4.75,T0166,Science,66,4344,455,Not Available,High School,84634,Yes,Private,Yes,No,Yes,Semester 2,2,56,55,85,61,88
S00044,Student_44,17,Female,11,91.96,76,3.8,T0001,Math,99,1095,417,Not Available,PhD,36102,Yes,Private,No,No,No,Semester 2,3,90,68,50,87,58
S00045,Student_45,13,Female,10,81.51,58,2.9,T0046,Geography,69,8830,399,Not Available,Bachelor,39029,Yes,Bus,No,Yes,Yes,Semester 2,3,53,92,79,72,62
S00046,Student_46,13,Male,6,98.35,82,4.1,T0242,Computer Science,37,1514,305,Not Available,Master,41813,Yes,Private,No,Yes,Yes,Semester 1,3,72,72,60,93,91
S00047,Student_47,17,Female,5,84.45,82,4.1,T0344,Science,37,741,207,Not Available,Bachelor,80978,Yes,Walk,No,No,Yes,Semester 2,3,93,51,74,74,67
S00048,Student_48,16,Female,6,87.14,75,3.75,T0427,Math,55,2863,67,Not Available,Bachelor,84739,No,Walk,No,Yes,Yes,Semester 2,5,93,52,60,61,96
S00049,Student_49,15,Female,6,94.77,77,3.85,T0488,History,80,1232,407,Not Available,Bachelor,22053,Yes,Private,No,No,Yes,Semester 2,4,55,51,90,52,86
S00050,Student_50,15,Male,5,78.26,93,4.65,T0278,English,76,634,87,Available,Bachelor,39898,Yes,Private,Yes,Yes,No,Semester 2,5,94,62,54,73,96
S00051,Student_51,16,Female,5,72.26,92,4.6,T0003,Math,95,4261,251,Not Available,PhD,50617,Yes,Bus,Yes,No,Yes,Semester 2,1,58,81,76,75,60
S00052,Student_52,15,Male,7,91.23,80,4.0,T0142,Computer Science,64,3126,438,Not Available,High School,41384,Yes,Private,No,No,Yes,Semester 2,5,58,92,72,64,77
S00053,Student_53,12,Female,10,84.49,50,2.5,T0386,History,47,7679,376,Not Available,Master,90657,No,Bus,No,No,Yes,Semester 2,4,70,74,68,80,55
S00054,Student_54,13,Female,11,96.9,69,3.45,T0061,Science,27,2010,108,Available,High School,68373,No,Private,No,Yes,Yes,Semester 1,2,52,92,52,92,82
S00055,Student_55,16,Male,7,99.48,61,3.05,T0416,Math,85,3296,15,Available,PhD,76791,No,Bus,No,Yes,Yes,Semester 2,4,62,62,57,91,63
S00056,Student_56,13,Female,5,81.97,66,3.3,T0496,History,72,7407,288,Available,High School,95342,Yes,Private,Yes,Yes,Yes,Semester 1,2,87,79,97,70,96
S00057,Student_57,17,Male,8,82.46,64,3.2,T0294,Science,14,5012,327,Available,High School,29519,No,Private,Yes,Yes,No,Semester 1,1,67,68,98,70,78
S00058,Student_58,10,Male,11,82.24,83,4.15,T0225,Geography,53,4802,221,Available,PhD,54016,Yes,Private,No,Yes,No,Semester 1,3,95,73,85,70,88
S00059,Student_59,12,Male,8,79.74,99,4.95,T0302,English,38,2143,282,Available,High School,49897,No,Bus,Yes,No,No,Semester 2,5,80,94,64,97,64
S00060,Student_60,14,Female,6,93.45,65,3.25,T0170,History,23,4906,93,Not Available,Master,82584,No,Walk,No,No,Yes,Semester 1,3,78,82,62,74,97
S00061,Student_61,12,Female,9,92.77,53,2.65,T0134,Geography,67,3864,121,Available,PhD,26384,No,Bus,Yes,No,Yes,Semester 2,1,51,62,79,61,54
S00062,Student_62,16,Female,6,84.36,57,2.85,T0041,Computer Science,53,7268,207,Not Available,Master,68898,No,Private,Yes,No,Yes,Semester 2,1,80,80,90,97,71
S00063,Student_63,14,Male,6,71.34,83,4.15,T0231,Computer Science,27,3911,369,Not Available,High School,56441,Yes,Walk,No,No,No,Semester 2,2,87,87,59,86,80
S00064,Student_64,10,Female,9,79.29,95,4.75,T0409,Science,16,582,390,Not Available,Bachelor,57917,No,Bus,No,No,No,Semester 2,2,56,57,83,67,68
S00065,Student_65,16,Male,10,78.77,74,3.7,T0226,Math,96,6196,37,Available,Bachelor,26608,No,Bus,Yes,No,No,Semester 1,1,89,79,79,59,67
S00066,Student_66,11,Female,5,94.33,64,3.2,T0139,English,71,2940,150,Not Available,PhD,37778,Yes,Walk,Yes,No,No,Semester 2,4,59,68,74,55,55
S00067,Student_67,13,Male,8,72.63,77,3.85,T0110,Science,54,6260,422,Not Available,Bachelor,38089,No,Private,Yes,Yes,No,Semester 1,3,62,81,55,78,58
S00068,Student_68,10,Male,6,94.17,58,2.9,T0485,History,25,2282,182,Available,Bachelor,62132,No,Walk,Yes,Yes,Yes,Semester 1,5,50,79,86,78,79
S00069,Student_69,13,Male,9,90.08,51,2.55,T0297,English,73,9296,29,Available,Bachelor,28791,No,Private,Yes,Yes,No,Semester 1,1,86,95,66,78,80
S00070,Student_70,15,Female,7,91.97,66,3.3,T0455,Geography,46,6926,451,Not Available,PhD,70648,Yes,Walk,No,Yes,No,Semester 2,5,74,87,85,95,84
S00071,Student_71,11,Male,6,82.97,59,2.95,T0057,English,34,8406,474,Available,Master,59474,Yes,Bus,No,Yes,No,Semester 2,1,79,66,89,95,66
S00072,Student_72,11,Male,8,90.39,58,2.9,T0430,Geography,18,9422,126,Available,Bachelor,64077,No,Bus,Yes,No,No,Semester 1,2,51,83,81,58,91
S00073,Student_73,10,Male,5,88.27,80,4.0,T0123,Science,64,1860,63,Not Available,PhD,26771,No,Bus,Yes,No,No,Semester 1,2,85,65,71,81,65
S00074,Student_74,11,Male,6,93.07,51,2.55,T0240,Math,37,2578,236,Not Available,Master,76858,Yes,Private,Yes,No,Yes,Semester 2,1,73,86,82,97,82
S00075,Student_75,14,Male,6,83.4,73,3.65,T0086,Computer Science,18,1477,118,Not Available,PhD,49278,Yes,Private,No,No,Yes,Semester 1,5,61,55,71,62,53
S00076,Student_76,11,Male,10,84.18,68,3.4,T0176,English,21,8293,240,Not Available,Bachelor,36238,No,Walk,No,Yes,No,Semester 1,3,54,51,85,95,80
S00077,Student_77,13,Female,9,89.31,66,3.3,T0063,Math,27,2137,329,Not Available,Bachelor,45010,Yes,Private,No,Yes,Yes,Semester 2,1,64,54,67,60,82
S00078,Student_78,13,Female,7,73.24,92,4.6,T0039,Math,99,3800,317,Not Available,High School,22658,No,Private,Yes,Yes,No,Semester 1,1,91,91,77,83,99
S00079,Student_79,16,Male,7,83.09,98,4.9,T0138,Computer Science,65,4504,238,Not Available,High School,31891,Yes,Walk,Yes,Yes,Yes,Semester 1,4,98,68,62,78,85
S00080,Student_80,13,Female,11,99.16,59,2.95,T0469,English,99,1082,308,Not Available,High School,55091,Yes,Private,No,No,No,Semester 1,1,95,50,67,61,60
S00081,Student_81,16,Female,5,71.13,99,4.95,T0454,English,83,9151,96,Available,Master,55663,No,Walk,No,No,No,Semester 1,2,56,87,72,98,53
S00082,Student_82,13,Male,11,79.48,77,3.85,T0241,Math,67,8827,283,Available,PhD,87067,No,Private,No,No,No,Semester 2,4,51,74,84,80,85
S00083,Student_83,14,Male,8,79.42,87,4.35,T0449,History,90,9669,237,Available,Master,96894,No,Private,No,No,Yes,Semester 1,4,52,65,67,90,54
S00084,Student_84,17,Male,5,89.0,97,4.85,T0226,History,60,8975,349,Available,High School,51623,Yes,Bus,Yes,No,No,Semester 1,2,53,79,59,71,70
S00085,Student_85,16,Female,6,73.17,77,3.85,T0443,English,41,2898,319,Available,High School,53549,No,Private,No,No,Yes,Semester 2,2,97,79,51,75,62
S00086,Student_86,12,Male,6,88.86,99,4.95,T0206,Math,97,4612,325,Not Available,Bachelor,88087,No,Walk,Yes,Yes,No,Semester 2,2,65,59,63,92,53
S00087,Student_87,15,Female,7,72.85,99,4.95,T0164,Math,57,1738,388,Available,Master,48062,Yes,Walk,Yes,No,No,Semester 2,5,76,89,81,61,91
S00088,Student_88,10,Male,8,72.85,50,2.5,T0027,Science,17,3966,80,Available,Bachelor,96051,Yes,Bus,Yes,Yes,Yes,Semester 1,4,71,73,79,84,99
S00089,Student_89,13,Female,9,91.85,52,2.6,T0457,Math,39,6018,237,Not Available,Bachelor,65381,No,Walk,Yes,No,No,Semester 1,3,52,70,68,98,84
S00090,Student_90,11,Male,8,79.72,64,3.2,T0183,Computer Science,35,5863,499,Available,PhD,28704,Yes,Bus,Yes,Yes,Yes,Semester 2,3,98,88,54,87,75
S00091,Student_91,17,Male,6,99.32,59,2.95,T0198,History,33,3666,394,Not Available,High School,31410,No,Private,Yes,Yes,No,Semester 2,5,66,64,97,53,75
S00092,Student_92,13,Female,9,71.12,70,3.5,T0479,Science,36,1279,122,Available,Bachelor,91974,Yes,Bus,Yes,Yes,Yes,Semester 2,3,71,54,81,94,68
S00093,Student_93,11,Female,8,83.35,86,4.3,T0337,Computer Science,88,2634,302,Available,Bachelor,42902,Yes,Private,No,Yes,Yes,Semester 1,4,56,85,59,98,86
S00094,Student_94,15,Female,8,73.39,64,3.2,T0437,History,84,2736,314,Not Available,High School,25786,Yes,Walk,No,No,No,Semester 2,2,79,91,54,59,60
S00095,Student_95,15,Female,9,80.54,72,3.6,T0107,Computer Science,48,2139,300,Available,High School,56919,Yes,Bus,No,Yes,No,Semester 2,4,57,71,63,67,51
S00096,Student_96,15,Female,6,99.95,63,3.15,T0444,Geography,75,9111,114,Available,PhD,98735,No,Walk,No,No,No,Semester 1,5,68,57,88,95,80
S00097,Student_97,11,Female,8,96.67,64,3.2,T0189,English,60,4189,460,Available,PhD,91629,Yes,Walk,Yes,No,No,Semester 2,5,56,80,91,97,67
S00098,Student_98,13,Male,9,71.45,59,2.95,T0036,Geography,82,5455,300,Not Available,Bachelor,68353,No,Walk,Yes,Yes,Yes,Semester 1,1,50,50,92,68,60
S00099,Student_99,15,Female,10,86.9,58,2.9,T0085,English,59,8898,486,Not Available,Bachelor,48691,Yes,Walk,Yes,Yes,Yes,Semester 1,5,65,69,68,64,93
S00100,Student_100,14,Male,10,89.43,93,4.65,T0155,History,54,7872,18,Not Available,Bachelor,51902,No,Walk,Yes,No,Yes,Semester 1,5,99,77,60,72,65
S00101,Student_101,16,Male,6,76.29,88,4.4,T0169,History,96,3890,174,Not Available,Master,43118,No,Bus,No,No,Yes,Semester 2,4,89,80,84,72,51
S00102,Student_102,11,Female,9,74.35,54,2.7,T0284,Geography,42,7750,69,Not Available,PhD,25016,Yes,Walk,Yes,No,Yes,Semester 1,4,80,73,88,70,81
S00103,Student_103,11,Male,10,97.13,74,3.7,T0272,Computer Science,28,7749,321,Available,Bachelor,59277,No,Bus,No,Yes,No,Semester 1,5,88,94,95,75,97
S00104,Student_104,13,Female,9,99.06,91,4.55,T0035,English,22,4296,115,Available,High School,41327,No,Bus,Yes,No,No,Semester 1,4,76,56,87,94,97
S00105,Student_105,11,Female,8,99.76,75,3.75,T0420,English,87,3034,120,Not Available,PhD,61684,No,Bus,No,Yes,Yes,Semester 2,4,59,51,71,83,71
S00106,Student_106,11,Male,6,93.69,57,2.85,T0184,Science,31,2680,98,Not Available,PhD,34202,No,Walk,No,Yes,No,Semester 2,5,83,58,94,90,85
S00107,Student_107,15,Male,10,89.91,71,3.55,T0099,Math,29,4806,277,Available,Bachelor,73949,No,Walk,No,Yes,Yes,Semester 2,2,96,68,95,62,57
S00108,Student_108,13,Female,11,80.37,74,3.7,T0237,Computer Science,14,4727,239,Not Available,Master,94035,No,Bus,Yes,Yes,Yes,Semester 2,5,63,90,79,74,85
S00109,Student_109,15,Female,8,75.14,97,4.85,T0403,Computer Science,93,1946,336,Available,Bachelor,80353,Yes,Walk,No,Yes,No,Semester 2,3,51,98,79,93,92
S00110,Student_110,16,Male,11,72.37,61,3.05,T0441,Science,87,1451,80,Not Available,Master,75864,No,Bus,No,Yes,Yes,Semester 1,4,88,74,96,82,74
S00111,Student_111,17,Male,11,90.8,58,2.9,T0469,History,99,4521,128,Not Available,Master,52054,No,Walk,Yes,No,No,Semester 2,1,71,72,99,77,89
S00112,Student_112,16,Male,5,93.54,59,2.95,T0122,Geography,41,5985,397,Available,High School,62804,No,Walk,Yes,No,No,Semester 2,5,75,99,60,62,93
S00113,Student_113,17,Male,5,94.79,97,4.85,T0417,Computer Science,39,2217,454,Available,Bachelor,90744,Yes,Bus,No,No,Yes,Semester 2,2,93,59,71,76,80
S00114,Student_114,15,Female,6,97.41,59,2.95,T0023,English,35,4742,438,Not Available,Master,92978,Yes,Walk,Yes,Yes,Yes,Semester 2,2,54,72,59,57,53
S00115,Student_115,16,Female,10,96.4,58,2.9,T0375,Science,91,4305,360,Not Available,PhD,63628,Yes,Bus,No,No,Yes,Semester 1,4,87,82,92,85,88
S00116,Student_116,13,Female,10,99.99,75,3.75,T0063,Geography,96,6413,443,Available,Bachelor,92581,No,Bus,Yes,Yes,No,Semester 1,5,65,92,68,92,94
S00117,Student_117,10,Female,10,77.32,84,4.2,T0326,Geography,97,7975,315,Available,Master,69015,Yes,Walk,No,No,Yes,Semester 2,5,61,68,64,55,92
S00118,Student_118,15,Male,9,92.9,76,3.8,T0480,Computer Science,13,5310,112,Not Available,PhD,27624,Yes,Walk,Yes,No,Yes,Semester 1,3,90,83,84,62,59
S00119,Student_119,17,Male,8,87.59,80,4.0,T0150,Math,76,2096,211,Available,High School,98720,Yes,Bus,Yes,No,No,Semester 2,5,93,86,84,69,76
S00120,Student_120,14,Female,10,77.84,68,3.4,T0195,English,52,7094,441,Not Available,High School,76215,No,Bus,No,No,No,Semester 2,3,91,52,50,54,90
S00121,Student_121,17,Female,8,99.46,92,4.6,T0483,Geography,39,3716,32,Not Available,Bachelor,98085,Yes,Bus,No,Yes,No,Semester 2,2,66,94,96,94,87
S00122,Student_122,14,Female,6,96.94,87,4.35,T0080,English,25,9598,99,Not Available,Bachelor,82639,Yes,Private,Yes,No,No,Semester 1,5,74,56,94,76,66
S00123,Student_123,11,Female,11,73.86,55,2.75,T0490,Computer Science,80,6255,480,Not Available,Bachelor,83891,No,Walk,Yes,Yes,No,Semester 1,4,73,92,96,98,94
S00124,Student_124,16,Female,10,70.78,64,3.2,T0315,Science,48,6783,102,Not Available,Bachelor,51973,No,Private,No,Yes,No,Semester 2,3,60,98,67,68,87
S00125,Student_125,14,Female,6,90.65,78,3.9,T0153,Geography,95,1837,273,Not Available,Bachelor,42091,Yes,Bus,Yes,Yes,Yes,Semester 2,3,67,50,75,50,74
S00126,Student_126,17,Female,10,88.12,96,4.8,T0017,Computer Science,50,3474,476,Not Available,Master,41826,No,Private,Yes,Yes,No,Semester 1,4,85,85,67,53,66
S00127,Student_127,11,Female,5,98.07,94,4.7,T0039,Geography,40,4973,294,Available,PhD,32982,Yes,Bus,No,No,No,Semester 2,1,52,50,90,51,62
S00128,Student_128,10,Female,7,77.02,54,2.7,T0333,Science,58,9052,180,Available,Bachelor,26420,No,Private,Yes,No,Yes,Semester 1,4,68,90,67,93,70
S00129,Student_129,13,Male,6,72.53,63,3.15,T0348,English,22,7326,318,Not Available,PhD,64770,Yes,Private,Yes,Yes,No,Semester 2,3,55,79,92,75,64
S00130,Student_130,13,Female,10,77.78,51,2.55,T0459,English,50,6167,399,Available,Master,24031,No,Walk,No,No,Yes,Semester 1,4,72,99,67,82,97
S00131,Student_131,13,Male,7,70.57,72,3.6,T0202,Geography,37,9264,230,Not Available,Master,80068,No,Walk,No,No,Yes,Semester 1,3,89,81,81,93,73
S00132,Student_132,14,Male,6,71.08,93,4.65,T0423,Computer Science,73,8513,33,Not Available,Master,59128,No,Private,Yes,Yes,Yes,Semester 1,1,56,98,87,94,56
S00133,Student_133,10,Female,9,97.45,95,4.75,T0280,Science,28,3544,385,Available,Bachelor,57607,Yes,Bus,Yes,Yes,Yes,Semester 1,5,96,68,76,87,94
S00134,Student_134,14,Female,10,80.56,68,3.4,T0422,History,96,5518,211,Available,High School,92887,Yes,Walk,No,No,No,Semester 2,2,93,96,98,56,87
S00135,Student_135,16,Male,9,82.32,73,3.65,T0088,English,81,2733,133,Not Available,High School,22100,Yes,Private,No,No,No,Semester 2,1,96,59,78,78,89
S00136,Student_136,14,Male,5,70.55,69,3.45,T0481,History,34,6137,151,Available,Bachelor,94977,No,Bus,No,No,No,Semester 1,5,58,93,98,54,71
S00137,Student_137,10,Female,10,78.12,96,4.8,T0465,Geography,47,7967,61,Not Available,Bachelor,21737,No,Walk,No,No,No,Semester 1,4,51,97,90,58,91
S00138,Student_138,10,Male,11,94.14,76,3.8,T0441,History,99,3746,79,Available,Bachelor,30110,Yes,Private,No,Yes,No,Semester 1,3,96,93,69,62,59
S00139,Student_139,16,Female,5,88.46,73,3.65,T0300,Computer Science,12,4541,269,Not Available,Master,84259,No,Bus,Yes,No,Yes,Semester 1,1,99,82,84,95,82
S00140,Student_140,10,Female,7,92.61,66,3.3,T0292,Computer Science,11,2389,195,Not Available,High School,37776,Yes,Bus,Yes,No,No,Semester 1,4,94,94,72,89,61
S00141,Student_141,17,Female,6,83.42,74,3.7,T0355,History,14,8176,381,Not Available,High School,28439,Yes,Private,Yes,Yes,No,Semester 1,5,97,53,61,97,57
S00142,Student_142,10,Male,8,79.29,95,4.75,T0070,Computer Science,70,3155,216,Available,PhD,46507,Yes,Bus,No,No,No,Semester 1,2,96,69,84,95,89
S00143,Student_143,13,Male,5,84.48,80,4.0,T0378,English,29,4218,302,Not Available,PhD,73168,No,Private,No,Yes,No,Semester 2,1,60,93,85,78,71
S00144,Student_144,17,Female,8,79.69,77,3.85,T0124,Geography,85,6035,313,Not Available,High School,97836,Yes,Bus,No,Yes,Yes,Semester 2,2,52,64,91,67,88
S00145,Student_145,17,Male,8,95.17,99,4.95,T0080,History,47,9748,387,Available,High School,72584,Yes,Private,Yes,No,Yes,Semester 2,4,91,90,77,79,88
S00146,Student_146,16,Male,6,78.93,77,3.85,T0045,English,89,2629,48,Available,Master,48960,Yes,Walk,Yes,No,Yes,Semester 1,5,98,79,86,59,96
S00147,Student_147,12,Male,7,89.79,71,3.55,T0476,History,45,2130,357,Not Available,PhD,73678,Yes,Bus,No,Yes,Yes,Semester 1,1,79,56,69,68,93
S00148,Student_148,12,Male,6,74.11,54,2.7,T0233,English,55,5560,75,Available,Bachelor,60552,Yes,Private,Yes,No,Yes,Semester 2,5,57,87,84,97,65
S00149,Student_149,10,Male,10,90.61,93,4.65,T0480,Computer Science,46,1491,22,Not Available,Master,48560,No,Private,No,No,Yes,Semester 2,3,86,90,56,58,97
S00150,Student_150,17,Male,5,97.4,91,4.55,T0154,Computer Science,63,5090,203,Not Available,PhD,71233,No,Bus,Yes,No,Yes,Semester 2,5,70,67,83,70,83
S00151,Student_151,12,Male,8,88.26,57,2.85,T0395,Geography,30,9885,325,Not Available,Bachelor,29539,Yes,Walk,Yes,No,No,Semester 1,5,57,79,55,50,95
S00152,Student_152,12,Female,6,86.8,87,4.35,T0180,Computer Science,30,7366,391,Available,Bachelor,99398,Yes,Private,No,Yes,No,Semester 2,5,96,57,68,90,65
S00153,Student_153,10,Male,6,98.83,77,3.85,T0409,Science,79,9394,434,Available,High School,73888,Yes,Walk,No,Yes,No,Semester 1,1,60,70,91,75,63
S00154,Student_154,12,Male,6,88.82,96,4.8,T0031,English,93,9722,297,Available,High School,31815,Yes,Bus,No,No,Yes,Semester 2,1,90,99,57,63,55
S00155,Student_155,14,Male,5,77.79,61,3.05,T0085,English,69,5421,445,Not Available,Bachelor,21854,No,Walk,No,No,No,Semester 1,1,83,94,97,88,99
S00156,Student_156,11,Male,7,78.77,74,3.7,T0045,History,45,8521,142,Not Available,Bachelor,63904,No,Bus,No,Yes,No,Semester 1,2,88,56,79,78,59
S00157,Student_157,16,Male,11,91.16,87,4.35,T0371,Geography,86,2981,204,Not Available,High School,42434,Yes,Private,Yes,No,Yes,Semester 1,4,65,93,51,92,73
S00158,Student_158,11,Male,6,92.06,93,4.65,T0323,Math,20,9254,331,Available,High School,57845,No,Walk,Yes,No,No,Semester 1,4,56,54,65,56,76
S00159,Student_159,10,Male,5,79.1,64,3.2,T0332,Computer Science,97,6781,87,Available,High School,58108,No,Bus,Yes,No,No,Semester 1,5,53,81,95,73,96
S00160,Student_160,13,Male,8,80.36,93,4.65,T0243,Math,92,9058,259,Not Available,High School,86141,Yes,Private,No,Yes,Yes,Semester 2,2,81,65,73,76,99
